,file,scenario,tech_choice,city,doe_reference_name,urdb_label,natural_gas_price,iteration,pv_kw,pv_production,storage_kw,storage_kwh,chp_kw,hot_tes,cold_tes,net_capex_repl_om,energy_from_grid_year_one,energy_from_grid_year_one_bau,energy_cost,demand_cost,fixed_cost,min_cost_adder,energy_cost_bau,demand_cost_bau,min_cost_adder_bau,lcc_bau,lcc,npv,pre_setup_scenario_seconds,setup_scenario_seconds,reopt_seconds,reopt_bau_seconds,parse_run_outputs_seconds,julia_input_construction_seconds,julia_reopt_preamble_seconds,julia_reopt_variables_seconds,julia_reopt_constriants_seconds,julia_reopt_optimize_seconds,julia_reopt_postprocess_seconds,pyjulia_start_seconds,pyjulia_pkg_seconds,pyjulia_activate_seconds,pyjulia_include_model_seconds,pyjulia_make_model_seconds,pyjulia_include_reopt_seconds,pyjulia_run_reopt_seconds,julia_input_construction_seconds_bau,julia_reopt_preamble_seconds_bau,julia_reopt_variables_seconds_bau,julia_reopt_constriants_seconds_bau,julia_reopt_optimize_seconds_bau,julia_reopt_postprocess_seconds_bau,pyjulia_start_seconds_bau,pyjulia_pkg_seconds_bau,pyjulia_activate_seconds_bau,pyjulia_include_model_seconds_bau,pyjulia_make_model_seconds_bau,pyjulia_include_reopt_seconds_bau,pyjulia_run_reopt_seconds_bau
0,chp_pv_bess_coldtes_SanFrancisco_Hospital_5e1676e95457a3f87673e3b0_9_0.json,EightPercentGap,chp_pv_bess_coldtes,SanFrancisco,Hospital,5e1676e95457a3f87673e3b0,9,0,1541.5659,2213040.0,357.809060336859,1393.51393489195,485.243958224147,0.0,0.0,8095212.5,1563379.04,7752817.0,1490971.86,1638085.67,157801.8,0.0,7964797.23,5274309.78,0.0,14576729.0,10956666.836428,3620062.163572,0.261511564254761,4.5312283039093,139.423097610474,42.914265871048,0.210909605026245,,0.0660033226013184,4.09350252151489,4.34788346290588,2.34043550491333,8.42414736747742,0.512346982955933,0.000803232192993164,0.010486364364624,0.00237226486206055,0.0151596069335938,1.01381778717041,137.866343021393,0.237632989883423,0.00131702423095703,1.24037384986877,6.39915204048157,0.337607860565186,4.02498292922974,0.516096591949463,0.00075984001159668,0.00903701782226562,0.00238871574401855,0.014721155166626,1.06297254562378,41.3067378997803
1,chp_SanFrancisco_Hospital_5cb742345457a31e119b6ec3_13_0.json,EightPercentGap,chp,SanFrancisco,Hospital,5cb742345457a31e119b6ec3,13,0,0.0,,0.0,0.0,778.571564803619,0.0,0.0,9806664.0,2352454.33,7752817.0,3636273.93,890536.62,85623.12,0.0,14503814.64,2115012.12,0.0,18408635.0,14419096.2036064,3989538.79639364,0.41881799697876,3.26379179954529,96.5934360027313,41.7079236507416,0.168923616409302,,0.0596346855163574,2.12813496589661,3.27864575386047,1.73006057739258,5.13955998420715,0.519825458526611,0.000844478607177734,0.00896549224853516,0.00231075286865234,0.0175924301147461,1.02066898345947,95.0216336250305,0.328005075454712,0.00100612640380859,1.24076890945435,6.15929484367371,0.341833829879761,3.19803500175476,0.514218091964722,0.000732660293579102,0.00858163833618164,0.00236392021179199,0.0147182941436768,1.06833839416504,40.0973429679871
2,chp_coldtes_SanFrancisco_Hospital_5d094abf5457a3ba43474943_13_0.json,EightPercentGap,chp_coldtes,SanFrancisco,Hospital,5d094abf5457a3ba43474943,13,0,0.0,,0.0,0.0,0.0,0.0,0.0,1704187.0,7752817.01,7752817.0,3948393.95,906903.02,1890.36,0.0,3948393.96,906903.01,0.0,6561373.0,6561372.62845934,0.371540662832558,0.377668619155884,3.37423610687256,73.0083365440369,43.3695130348206,0.188356399536133,,0.00636768341064453,2.44302034378052,3.34536457061768,0.481892108917236,5.88083267211914,1.96588683128357,0.0017848014831543,0.0455191135406494,0.00599408149719238,0.142670392990112,1.05333113670349,69.7921259403229,0.224497079849243,0.000262975692749023,1.28467297554016,5.62749290466309,0.83346700668335,4.62070989608765,0.571968555450439,0.000965356826782227,0.00906777381896973,0.00240635871887207,0.0151028633117676,1.08068895339966,41.687846660614
3,chp_hottes_SanFrancisco_Hospital_5cb742345457a31e119b6ec3_13_0.json,EightPercentGap,chp_hottes,SanFrancisco,Hospital,5cb742345457a31e119b6ec3,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,chp_pv_bess_SanFrancisco_Hospital_5cb742345457a31e119b6ec3_13_0.json,EightPercentGap,chp_pv_bess,SanFrancisco,Hospital,5cb742345457a31e119b6ec3,13,0,2053.4765,2947927.0,390.973104107563,2220.6672834097,422.130950253662,0.0,0.0,9306173.43,1969726.83,7752817.0,2676038.04,690231.05,85623.12,0.0,14503814.64,2115012.12,0.0,18408635.0,12153632.8472817,6255002.15271833,0.323145866394043,3.94265413284302,156.906712055206,43.2252721786499,0.207225799560547,,0.155784130096436,3.49275684356689,4.88642048835754,2.3877432346344,7.19184756278992,0.40029764175415,0.00078272819519043,0.00852274894714355,0.00225162506103516,0.0139925479888916,0.905799865722656,155.5735476017,0.225014925003052,0.00109505653381348,1.26235795021057,6.66614484786987,0.323395013809204,3.57605195045471,0.54106616973877,0.000743389129638672,0.00884747505187988,0.00232481956481934,0.0144846439361572,1.0308895111084,41.6254251003265
5,chp_hottes_SanFrancisco_Hospital_5cb742345457a31e119b6ec3_9_0.json,EightPercentGap,chp_hottes,SanFrancisco,Hospital,5cb742345457a31e119b6ec3,9,0,0.0,,0.0,0.0,1026.27626817884,0.0,0.0,9960131.0,597627.98,7752817.0,1082696.87,500966.35,85623.12,0.0,14503814.64,2115012.12,0.0,17884270.0,11629416.4773627,6254853.52263727,0.295230150222778,3.1767303943634,79.9698271751404,46.7820723056793,0.165891408920288,,0.0599751472473145,1.93644142150879,3.3656690120697,1.2853217124939,5.24171996116638,0.504791736602783,0.000777244567871094,0.00900030136108398,0.0022735595703125,0.0163068771362305,0.952506303787231,78.4826166629791,0.330434083938599,0.00105094909667969,1.27599096298218,5.99754118919373,0.316802024841309,3.19264793395996,0.566048860549927,0.00077056884765625,0.00886225700378418,0.00227928161621094,0.0146036148071289,1.07902812957764,45.1087522506714
6,chp_pv_bess_hottes_SanFrancisco_Hospital_539f74f4ec4f024411ed0e5b_9_0.json,EightPercentGap,chp_pv_bess_hottes,SanFrancisco,Hospital,539f74f4ec4f024411ed0e5b,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,chp_coldtes_SanFrancisco_Hospital_5d094abf5457a3ba43474943_9_0.json,EightPercentGap,chp_coldtes,SanFrancisco,Hospital,5d094abf5457a3ba43474943,9,0,0.0,,0.0,0.0,0.0,0.0,0.0,1179820.0,7752817.01,7752817.0,3948393.95,906903.02,1890.36,0.0,3948393.96,906903.01,0.0,6037008.0,6037007.92411351,0.0758864879608154,0.351954221725464,3.21295833587646,80.2953586578369,44.5009067058563,0.146100044250488,,0.00636458396911621,1.40118217468262,4.15226888656616,0.471967220306396,6.04677224159241,0.486339092254639,0.000742435455322266,0.00881743431091309,0.00467634201049805,0.0152091979980469,0.929274797439575,78.849493265152,0.224118947982788,0.000261068344116211,1.26830101013184,5.82740497589111,0.734102010726929,4.29583716392517,0.536078929901123,0.000760078430175781,0.00870752334594727,0.00227785110473633,0.0143904685974121,1.07294273376465,42.8642160892487
8,chp_coldtes_SanFrancisco_Hospital_5e1676e95457a3f87673e3b0_13_0.json,EightPercentGap,chp_coldtes,SanFrancisco,Hospital,5e1676e95457a3f87673e3b0,13,0,0.0,,0.0,0.0,725.059642871051,0.0,0.0,7586393.0,4122435.2,7752817.0,4124481.91,2437588.28,157801.8,0.0,7964797.23,5274309.78,0.0,15101094.0,14306263.7868623,794830.21313772,0.361543416976929,3.24808120727539,196.611742973328,44.942177772522,0.169482469558716,,0.0650022029876709,1.65192866325378,4.23335456848145,4.08978176116943,5.39580869674683,0.522534132003784,0.000722169876098633,0.00842523574829102,0.00230169296264648,0.0158002376556396,0.92403769493103,195.136345863342,0.309328079223633,0.00124692916870117,1.16977286338806,6.15478205680847,0.347898960113525,3.21457195281982,0.542762756347656,0.000768661499023438,0.0093235969543457,0.00235652923583984,0.0154440402984619,1.05854725837708,43.3115155696869
9,chp_SanFrancisco_Hospital_5e1676e95457a3f87673e3b0_9_0.json,EightPercentGap,chp,SanFrancisco,Hospital,5e1676e95457a3f87673e3b0,9,0,0.0,,0.0,0.0,857.864384384165,0.0,0.0,8813487.0,1175475.1,7752817.0,1352638.5,1918003.31,157801.8,0.0,7964797.23,5274309.78,0.0,14576729.0,12241931.0702944,2334797.92970562,0.292264699935913,3.27469801902771,77.531866312027,44.5248153209686,0.168583869934082,,0.0635035037994385,2.36857938766479,3.25132203102112,1.0798966884613,4.94852209091187,1.92236280441284,0.00170016288757324,0.0452697277069092,0.00597333908081055,0.142766952514648,1.06621599197388,74.3465414047241,0.226579189300537,0.00136780738830566,1.29300999641418,6.30111598968506,0.352426052093506,3.45995616912842,0.582635164260864,0.000932693481445312,0.010129451751709,0.00246739387512207,0.0158579349517822,1.10892558097839,42.8020606040955
