,file,scenario,tech_choice,city,doe_reference_name,urdb_label,natural_gas_price,iteration,pv_kw,pv_production,storage_kw,storage_kwh,chp_kw,hot_tes,cold_tes,net_capex_repl_om,energy_from_grid_year_one,energy_from_grid_year_one_bau,energy_cost,demand_cost,fixed_cost,min_cost_adder,energy_cost_bau,demand_cost_bau,min_cost_adder_bau,lcc_bau,lcc,npv,pre_setup_scenario_seconds,setup_scenario_seconds,reopt_seconds,reopt_bau_seconds,parse_run_outputs_seconds
50,chp_pv_bess_coldtes_hottes_SanFrancisco_Hospital_5cb742345457a31e119b6ec3_13_0.json,PrivateFivePct420SecsC110PConst,chp_pv_bess_coldtes_hottes,SanFrancisco,Hospital,5cb742345457a31e119b6ec3,13,0,,,,,,,,,,,,,,,,,,,,,,,,,
51,chp_hottes_SanFrancisco_Hospital_5e7cc9135457a338417d5622_9_0.json,PrivateFivePct420SecsC110PConst,chp_hottes,SanFrancisco,Hospital,5e7cc9135457a338417d5622,9,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,7752817.0,7752817.0,5170497.86,1645502.29,20252.48,0.0,5170497.86,1645502.29,0.0,8016073.0,8016073.0,0.0,0.418977737426758,2.27447485923767,196.544248580933,0.769129753112793,0.0973076820373535
52,chp_pv_bess_coldtes_hottes_SanFrancisco_Hospital_539f74f4ec4f024411ed0e5b_13_0.json,PrivateFivePct420SecsC110PConst,chp_pv_bess_coldtes_hottes,SanFrancisco,Hospital,539f74f4ec4f024411ed0e5b,13,0,,,,,,,,,,,,,,,,,,,,,,,,,
53,chp_pv_bess_SanFrancisco_Hospital_5e1676e95457a3f87673e3b0_9_0.json,PrivateFivePct420SecsC110PConst,chp_pv_bess,SanFrancisco,Hospital,5e1676e95457a3f87673e3b0,9,0,2112.884,3033211.0,438.382,1412.4078,450.947,0.0,0.0,4929523.18,2623368.4581,7752817.0,2466816.58,1540929.72,157801.81,0.0,7964797.23,5274309.78,0.0,14576729.0,11113895.0,3462834.0,0.2864089012146,3.05317902565002,39.3394150733948,0.774322271347046,0.711085796356201
54,chp_pv_bess_coldtes_hottes_SanFrancisco_Hospital_5e7cc9135457a338417d5622_13_0.json,PrivateFivePct420SecsC110PConst,chp_pv_bess_coldtes_hottes,SanFrancisco,Hospital,5e7cc9135457a338417d5622,13,0,721.8734,1036306.0,0.0,0.0,0.0,0.0,47390.2822299652,820456.0,6719006.0928,7752817.0,4481030.14,1381318.58,20252.48,0.0,5170497.86,1645502.29,0.0,8540438.0,8407243.0,133195.0,0.182599306106567,3.98527860641479,54.8545184135437,1.23931050300598,0.472826480865479
55,chp_coldtes_SanFrancisco_Hospital_539f6b62ec4f024411ec9bcb_13_0.json,PrivateFivePct420SecsC110PConst,chp_coldtes,SanFrancisco,Hospital,539f6b62ec4f024411ec9bcb,13,0,0.0,,0.0,0.0,0.0,0.0,52536.3728222997,78805.0,7756008.2872,7752817.0,3490779.49,2500928.72,17253.64,0.0,3489343.17,2718212.13,0.0,7928994.0,7791952.0,137042.0,0.147308349609375,3.47358822822571,9.47817897796631,1.21648788452148,0.131261348724365
56,chp_pv_bess_coldtes_SanFrancisco_Hospital_539f6b62ec4f024411ec9bcb_13_0.json,PrivateFivePct420SecsC110PConst,chp_pv_bess_coldtes,SanFrancisco,Hospital,539f6b62ec4f024411ec9bcb,13,0,314.3117,451219.0,0.0,0.0,0.0,0.0,67831.5017421603,428032.0,7306228.2395,7752817.0,3288345.08,2296991.21,17253.64,0.0,3489343.17,2718212.13,0.0,7928994.0,7734807.0,194187.0,0.258116722106934,4.03330612182617,28.3338210582733,1.20594549179077,0.455366373062134
57,chp_pv_bess_hottes_SanFrancisco_Hospital_539f74f4ec4f024411ed0e5b_9_0.json,PrivateFivePct420SecsC110PConst,chp_pv_bess_hottes,SanFrancisco,Hospital,539f74f4ec4f024411ed0e5b,9,0,,,,,,,,,,,,,,,,,,,,,,,,,
58,chp_pv_bess_hottes_SanFrancisco_Hospital_539f6b62ec4f024411ec9bcb_13_0.json,PrivateFivePct420SecsC110PConst,chp_pv_bess_hottes,SanFrancisco,Hospital,539f6b62ec4f024411ec9bcb,13,0,,,,,,,,,,,,,,,,,,,,,,,,,
59,chp_SanFrancisco_Hospital_5e7cc9135457a338417d5622_13_0.json,PrivateFivePct420SecsC110PConst,chp,SanFrancisco,Hospital,5e7cc9135457a338417d5622,13,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,7752817.0,7752817.0,5170497.86,1645502.29,20252.48,0.0,5170497.86,1645502.29,0.0,8540438.0,8540438.0,0.0,0.332069158554077,2.36762690544128,3.84036993980408,0.772624969482422,0.102350234985352
